Location,Total views
"Kyiv Metropolitan Area, Ukraine",5
"Dhaka, Bangladesh",2
New York City Metropolitan Area,19
Greater Colorado Springs Area,1
"Metropolitan Region of Caracas, Venezuela",1
"Greater Tokyo Area, Japan",2
Dallas-Fort Worth Metroplex,3
Washington DC-Baltimore Area,67
Atlanta Metropolitan Area,11
"Pune/Pimpri-Chinchwad Area, India",11
"Portland, Oregon Metropolitan Area",2
"Metro Manila, Philippines",8
Denver Metropolitan Area,1
"Zamboanga, Philippines",4
Greater Minneapolis-St. Paul Area,1
Metro Jacksonville,9
"San Antonio, Texas Metropolitan Area",1
Greater Pittsburgh Region,6
Greater Tampa Bay Area,1
"Greater Montreal Metropolitan Area, Canada",3
Greater Seattle Area,3
Greater Sacramento,2
Greater Augusta Area,2
Greater St. George Area,2
"Greater Bengaluru Area, India",2
San Francisco Bay Area,4
"Nellore, India",8
Greater Kennewick Area,8
"Austin, Texas Metropolitan Area",1
Greater Houston,2
Greater Milwaukee,1
"Greater Kolkata Area, India",3
Knoxville Metropolitan Area,11
Cincinnati Metropolitan Area,19
Dayton Metropolitan Area,2
"Rochester, New York Metropolitan Area",3
"Charleston, South Carolina Metropolitan Area",8
Greater Phoenix Area,1
Raleigh-Durham-Chapel Hill Area,6
Spokane-Coeur d'Alene Area,4
Greater Cleveland,1
"Phirangipuram, India",3
"Dhule, India",3
"Greater Buenos Aires, Argentina",42
"Greater Leeds Area, United Kingdom",2
